Time,Portfolio Value,BTC Price,Cash,BTC Holdings
2026-06-29 17:30:00+00:00,10003.803100773375,60417.4296875,9500,0.008338704631746517
2026-06-29 18:00:00+00:00,10003.907758031117,60429.98046875,9500,0.008338704631746517
2026-06-29 19:30:00+00:00,10002.690632885531,60284.01953125,9500,0.008338704631746517
2026-06-29 20:00:00+00:00,10003.16277946224,60340.640625,9500,0.008338704631746517
2026-06-30 03:00:00+00:00,9998.534374941775,59785.58984375,9500,0.008338704631746517
2026-06-30 14:00:00+00:00,9991.787190264355,58976.44921875,9500,0.008338704631746517
2026-06-30 14:30:00+00:00,9987.03263026327,58406.26953125,9500,0.008338704631746517
2026-06-30 15:30:00+00:00,9985.56768923941,58230.58984375,9500,0.008338704631746517
2026-06-30 16:00:00+00:00,9987.570053262172,58470.71875,9500,0.008338704631746517
2026-06-30 17:30:00+00:00,9986.034884250408,58305.0,9000.5,0.016903093804140436
2026-06-30 22:30:00+00:00,9989.2672708019,58496.23046875,9000.5,0.016903093804140436
2026-07-01 02:30:00+00:00,9996.579707648074,58928.83984375,9000.5,0.016903093804140436
2026-07-01 03:00:00+00:00,9998.209865784522,59025.28125,9000.5,0.016903093804140436
2026-07-03 22:00:00+00:00,10075.921936960276,62527.46875,0.0,0.16114392823490517
2026-07-03 22:00:00+00:00,10079.24490101165,62548.08984375,0.0,0.16114392823490517
2026-07-03 22:30:00+00:00,10074.940709620794,62528.71875,1311.9204365002263,0.14014392823490515
2026-07-04 08:00:00+00:00,10068.235151117085,62480.87109375,1311.9204365002263,0.14014392823490515
2026-07-05 04:00:00+00:00,10106.872722644006,62756.5703125,1311.9204365002263,0.14014392823490515
2026-07-06 00:00:00+00:00,10196.002618689747,63392.55859375,1311.9204365002263,0.14014392823490515
2026-07-06 00:30:00+00:00,10233.440755268373,63659.69921875,1311.9204365002263,0.14014392823490515
2026-07-06 01:30:00+00:00,10243.874558761156,63812.8203125,8853.377309452548,0.021790249083164702
2026-07-06 02:30:00+00:00,10236.719270836631,63484.44921875,0.0,0.16124766611054156
2026-07-06 03:00:00+00:00,10227.957097855133,63430.109375,0.0,0.16124766611054156
2026-07-06 03:30:00+00:00,10179.700584403074,63130.83984375,0.0,0.16124766611054156
2026-07-06 04:00:00+00:00,10197.99530492122,63279.05859375,6322.300652381826,0.06124766611054155
2026-07-06 14:00:00+00:00,10100.754695822643,61696.94140625,6072.300652381826,0.06529422612565244
2026-07-06 14:00:00+00:00,10104.922040932273,61765.76171875,5572.300652381826,0.07338404420866225
2026-07-06 14:30:00+00:00,10110.517574303185,61842.01171875,5572.300652381826,0.07338404420866225
2026-07-06 14:30:00+00:00,10114.333544602036,61894.01171875,5572.300652381826,0.07338404420866225
2026-07-06 16:00:00+00:00,10236.556103513674,63559.53125,5572.300652381826,0.07338404420866225
2026-07-06 16:00:00+00:00,10229.305702614576,63460.73046875,5572.300652381826,0.07338404420866225
2026-07-06 16:30:00+00:00,10243.277909969336,63651.12890625,5572.300652381826,0.07338404420866225
2026-07-06 16:30:00+00:00,10243.277909969336,63651.12890625,5572.300652381826,0.07338404420866225
2026-07-06 17:00:00+00:00,10257.2122786763,63841.01171875,5572.300652381826,0.07338404420866225
2026-07-06 17:30:00+00:00,10236.26973374741,63555.62890625,5572.300652381826,0.07338404420866225
2026-07-06 18:00:00+00:00,10251.466823996323,63762.71875,5572.300652381826,0.07338404420866225
2026-07-06 20:30:00+00:00,10249.883907230229,63741.1484375,5572.300652381826,0.07338404420866225
2026-07-07 08:00:00+00:00,10203.227134560344,63105.359375,5572.300652381826,0.07338404420866225
2026-07-07 14:30:00+00:00,10201.495443110874,63081.76171875,5572.300652381826,0.07338404420866225
2026-07-07 15:00:00+00:00,10237.251818651544,63569.01171875,5572.300652381826,0.07338404420866225
2026-07-07 15:30:00+00:00,10267.03599428189,63974.87890625,5572.300652381826,0.07338404420866225
2026-07-07 16:00:00+00:00,10255.671213747919,63820.01171875,5572.300652381826,0.07338404420866225
2026-07-07 16:30:00+00:00,10266.815842149263,63971.87890625,5572.300652381826,0.07338404420866225
2026-07-10 20:30:00+00:00,10248.823056279045,63785.12890625,4572.300652381826,0.08899444903906129
2026-07-10 21:30:00+00:00,10263.274920480031,63947.51953125,4572.300652381826,0.088994449039061292026-07-10 21:30:00+00:00,10000.04433175413,63971.03125,9500.0,0.007816730823049381
2026-07-10 21:30:00+00:00,9999.662216786903,63962.078125,9500.0,0.007811850887809192
2026-07-10 21:30:00+00:00,9999.522187594312,63949.2890625,9500.0,0.007811223469679391
2026-07-10 22:00:00+00:00,10267.54213478454,63995.46875,4572.300652381826,0.08899444903906129
2026-07-11 03:30:00+00:00,10280.118162864372,64136.78125,4572.300652381826,0.08899444903906129
2026-07-15 17:30:00+00:00,9999.607370663658,64996.01953125,9500.0,0.007686737961290793
